Method,K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,constraint_stable,constraint_overshoot,constraint_steady_state_error,constraint_settling_time,constraint_saturation,feasible,objective,penalized,trial,objective_model_target,used_penalty_in_objective_model,g_overshoot,g_steady_state_error,g_settling_time,g_saturation,expected_improvement,feasibility_probability,constrained_expected_improvement,feasible_best_so_far,feasible_count_so_far
Feasibility-aware BO,0.4879626515101534,0.5001264172048328,0.009480332473439233,0.0342246992513746,0.001989102580667638,0.0,0.2202082513531601,12.578955091551835,12.578955091551835,0.000714975761998248,12.578955091551835,0.0,0.0,5.632,0.002249264944478337,0.22492649444783372,6.154631001884714,0.0,0.0,True,True,True,True,False,True,False,0.0342246992513746,False,39,0.0342246992513746,False,-0.1,-0.017750735055521664,3.6319999999999997,-0.05,0.0023850896892423923,0.13672655570840714,0.0003261050982657474,0.03660956722771919,10
Feasibility-aware BO,0.6783531710187723,0.5076911119330358,0.007757075208278714,0.034291311078984796,0.0019078863034830793,0.0,0.220977195312633,12.553033220209507,12.553033220209507,0.0009936664248035502,12.553033220209507,0.0,0.0,6.407,0.004752248060118092,0.47522480601180916,8.553646862846886,0.0,0.0,True,True,True,True,False,True,False,0.034291311078984796,False,40,0.034291311078984796,False,-0.1,-0.015247751939881909,4.407,-0.05,0.0023181627246859834,0.1312771474426075,0.00030432178980455853,0.03660956722771919,10
Feasibility-aware BO,0.8945733952358434,0.5009278599011128,0.0005471979298082252,0.034433657923527115,0.00197028362539363,0.0,0.22167658498860626,12.50601139612934,12.50601139612934,0.0013101437307381017,12.50601139612934,0.0,0.0,7.406000000000001,0.00907566808778137,0.9075668087781369,11.283799767296625,0.0,0.0,True,True,True,True,False,True,False,0.034433657923527115,False,41,0.034433657923527115,False,-0.1,-0.010924331912218631,5.406000000000001,-0.05,0.0021822746740702906,0.12597106189431312,0.00027490345803770055,0.03660956722771919,10
Feasibility-aware BO,0.5024389166214074,0.5320907120211134,0.004446910879330175,0.03445314864393024,0.0017492730244392726,0.0,0.22269056552844452,12.584253929133881,12.584253929133881,0.000736211837383286,12.584253929133881,0.0,0.0,5.345,0.001708193182922023,0.1708193182922023,6.340494873734056,0.0,0.0,True,True,True,True,False,True,False,0.03445314864393024,False,42,0.03445314864393024,False,-0.1,-0.01829180681707798,3.3449999999999998,-0.05,0.0021564188934512438,0.12189268203211609,0.0002628516825075001,0.03660956722771919,10
Feasibility-aware BO,0.5201815806527295,0.5066131689093694,0.009868721481673014,0.034262612533840685,0.0019297518231708342,0.0,0.22069840959958792,12.576704504980512,12.576704504980512,0.0007621449472993031,12.576704504980512,0.0,0.0,5.705,0.0024707057483624568,0.24707057483624567,6.560671242152649,0.0,0.0,True,True,True,True,False,True,False,0.034262612533840685,False,43,0.034262612533840685,False,-0.1,-0.017529294251637545,3.705,-0.05,0.0023470727144791204,0.1174983013943243,0.00027577705720026254,0.03660956722771919,10
Feasibility-aware BO,0.6037743848731331,0.5054004420475766,0.004088896489987562,0.03426104707530358,0.0019352619255272698,0.0,0.2206659327999148,12.563874138033379,12.563874138033379,0.0008845001492214225,12.563874138033379,0.0,0.0,6.125,0.0037225517106519146,0.37225517106519146,7.61614222542525,0.0,0.0,True,True,True,True,False,True,False,0.03426104707530358,False,44,0.03426104707530358,False,-0.1,-0.016277448289348087,4.125,-0.05,0.002348487485486675,0.11299329630781639,0.00026536334232279453,0.03660956722771919,10
Feasibility-aware BO,0.49802892980223623,0.5423565122215933,0.0014007822861758534,0.0345271012606393,0.0016840382073673305,0.0,0.22344452224145933,12.586325311226059,12.586325311226059,0.0007297718504891648,12.586325311226059,0.0,0.0,5.2250000000000005,0.0014954732171712328,0.1495473217171233,6.301273497220357,0.0,0.0,True,True,True,True,False,True,False,0.0345271012606393,False,45,0.0345271012606393,False,-0.1,-0.018504526782828767,3.2250000000000005,-0.05,0.002082548581061293,0.6734310826322321,0.001402452945578325,0.03660956722771919,10
Feasibility-aware BO,1.0361758659750109,0.5714202460387243,0.0001464808913927207,0.03487820164144967,0.00162001711982964,0.0,0.22604127579701255,12.521935203396012,12.521935203396012,0.0013940249450132166,12.521935203396012,0.0,0.0,7.011,0.007585542867292818,0.7585542867292818,12.0,0.0034996500349965005,0.34996500349965004,True,True,True,True,False,True,False,0.03487820164144967,False,46,0.03487820164144967,False,-0.1,-0.012414457132707182,5.011,-0.046500349965003504,0.0015894992660612506,0.7058732672624695,0.0011219850402459522,0.03660956722771919,10
Feasibility-aware BO,0.522588094799634,0.5000903035036209,0.007335377682607891,0.034216569243707314,0.001984806215330237,0.0,0.22017123676339448,12.574242387400991,12.574242387400991,0.0007656578773992377,12.574242387400991,0.0,0.0,5.808,0.0027165473902138943,0.2716547390213894,6.591195373827786,0.0,0.0,True,True,True,True,False,True,False,0.034216569243707314,False,47,0.034216569243707314,False,-0.1,-0.017283452609786105,3.808,-0.05,0.002392993630554424,0.10142859547506124,0.00024271798292790282,0.03660956722771919,10
Feasibility-aware BO,0.6646638562921203,0.5022686217650346,0.007953753967219578,0.034246396183540966,0.0019519140506295868,0.0,0.2205016516877548,12.552880544253568,12.552880544253568,0.0009736210792431199,12.552880544253568,0.0,0.0,6.422,0.004770312593445915,0.4770312593445915,8.381093173914955,0.0,0.0,True,True,True,True,False,True,False,0.034246396183540966,False,48,0.034246396183540966,False,-0.1,-0.015229687406554084,4.422,-0.05,0.0023631981128033053,0.0976497243561619,0.00023076564431424474,0.03660956722771919,10
